                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8922,                  2.376,                 1.7996,                 0.4283,                 0.4244,                0.37174,                0.14219,                 1.9176,                 2.0075,                 1.9285,               0.070526,              0.0032749,              0.0032749
                      1,                 1.7564,                 1.6952,                 1.6756,                0.46645,                0.40394,                0.39812,                0.17367,                 1.9145,                 1.9652,                 1.8369,               0.040265,              0.0063465,              0.0063465
                      2,                 1.7599,                 1.6946,                 1.6064,                0.42669,                0.52081,                0.44528,                0.18108,                 1.8601,                 1.8891,                 1.6337,              0.0097389,              0.0091542,              0.0091542
                      3,                 1.7914,                 1.6877,                  1.588,                0.39628,                0.40979,                 0.3261,                0.12764,                 2.0921,                 2.1481,                  1.864,               0.008812,               0.008812,               0.008812
                      4,                 1.8357,                 1.6529,                 1.6057,                0.54035,                 0.4748,                0.48975,                 0.2019,                 1.9714,                 1.8359,                 1.6857,               0.008812,               0.008812,               0.008812
                      5,                 1.7986,                 1.6361,                 1.5766,                0.58282,                0.50329,                0.54626,                0.22733,                 1.9014,                 1.8078,                 1.6942,               0.008416,               0.008416,               0.008416
                      6,                 1.7986,                 1.5993,                  1.584,                0.59633,                0.56465,                0.58962,                0.27117,                 1.8534,                 1.5689,                  1.603,                0.00802,                0.00802,                0.00802
                      7,                 1.7922,                 1.5876,                 1.5774,                0.52726,                0.55401,                0.54319,                 0.2296,                 1.9595,                 1.6184,                  1.722,               0.007624,               0.007624,               0.007624
                      8,                 1.7493,                 1.5272,                 1.5612,                0.58925,                0.52958,                0.57778,                0.26678,                 1.8795,                 1.5782,                 1.6539,               0.007228,               0.007228,               0.007228
                      9,                 1.7493,                 1.5149,                 1.5787,                0.64165,                0.62519,                0.65919,                0.29536,                 1.7994,                 1.3827,                 1.6162,               0.006832,               0.006832,               0.006832
                     10,                 1.7318,                 1.4509,                 1.5584,                0.68854,                 0.6314,                0.69608,                0.33407,                 1.7126,                 1.3264,                 1.5146,               0.006436,               0.006436,               0.006436
                     11,                 1.7015,                 1.4459,                 1.5361,                0.70756,                0.62565,                0.70381,                0.34519,                 1.7264,                 1.2932,                  1.514,                0.00604,                0.00604,                0.00604
                     12,                 1.6854,                  1.393,                  1.516,                0.71867,                0.61359,                0.71373,                0.36007,                 1.6822,                 1.2435,                 1.4919,               0.005644,               0.005644,               0.005644
                     13,                  1.675,                 1.3868,                 1.5267,                0.71688,                0.63039,                0.72793,                0.36816,                 1.6415,                  1.216,                 1.4925,               0.005248,               0.005248,               0.005248
                     14,                 1.6426,                 1.3166,                  1.507,                0.70127,                0.62747,                0.70838,                0.37394,                 1.6292,                 1.2487,                 1.5047,               0.004852,               0.004852,               0.004852
                     15,                 1.6741,                 1.2906,                 1.5268,                0.68711,                0.62559,                0.71038,                0.36862,                 1.6675,                 1.2552,                 1.5273,               0.004456,               0.004456,               0.004456
                     16,                 1.6483,                 1.2299,                 1.5078,                0.76515,                0.66635,                0.77726,                0.40835,                 1.5914,                 1.1437,                 1.4439,                0.00406,                0.00406,                0.00406
                     17,                 1.6524,                 1.2244,                 1.5156,                0.76678,                0.69175,                0.78964,                0.41159,                 1.6099,                  1.106,                 1.4346,               0.003664,               0.003664,               0.003664
                     18,                 1.5964,                 1.1624,                 1.4647,                 0.7862,                0.72681,                0.81598,                 0.4489,                 1.5557,                  1.039,                 1.4087,               0.003268,               0.003268,               0.003268
                     19,                 1.5961,                 1.1058,                 1.4729,                0.78364,                0.72389,                0.81479,                0.44627,                 1.5336,                 1.0301,                 1.4081,               0.002872,               0.002872,               0.002872
                     20,                 1.5354,                 1.0592,                 1.4424,                0.83081,                0.76625,                0.86109,                0.50007,                 1.4399,                0.93283,                 1.3517,               0.002476,               0.002476,               0.002476
                     21,                 1.5172,                 1.0058,                  1.419,                0.86259,                0.78451,                0.88033,                0.51492,                 1.4283,                0.87257,                 1.3332,                0.00208,                0.00208,                0.00208
                     22,                 1.4673,                0.94514,                 1.3791,                0.86315,                0.79401,                0.89064,                0.52877,                 1.4028,                0.84947,                 1.3265,               0.001684,               0.001684,               0.001684
                     23,                 1.4307,                0.90758,                 1.3498,                0.89566,                0.78963,                0.90848,                 0.5516,                 1.3484,                0.80183,                 1.2878,               0.001288,               0.001288,               0.001288
                     24,                 1.4008,                0.90225,                  1.348,                0.87549,                0.81668,                0.91245,                0.56214,                 1.3261,                0.78019,                 1.2769,               0.000892,               0.000892,               0.000892
